Date,GHI (W/m2),Civil Building Demand (kW) - 1,Week Day,Month,Sin Hour
2019-01-04 03:00:00,3.661,86.414,4,1,-8.024659857791685
2019-01-04 04:00:00,2.38225,83.217,4,1,-6.2068584884144515
2019-01-04 05:00:00,2.54175,82.815,4,1,-3.9660699703704005
2019-01-04 06:00:00,3.501916666666667,87.201,4,1,-1.455000338086136
2019-01-04 07:00:00,2.2784166666666668,102.312,4,1,1.1552251627369516
2019-01-04 08:00:00,26.05508333333333,188.686,4,1,3.686723977819363
2019-01-04 09:00:00,102.7925,261.516,4,1,5.966978646412833
2019-01-04 10:00:00,164.73333333333332,290.835,4,1,7.8405935811517145
2019-01-04 11:00:00,235.525,308.959,4,1,9.17988502052864
2019-01-04 12:00:00,299.425,300.391,4,1,9.893582466233818
2019-01-04 13:00:00,293.43333333333334,331.518,4,1,9.933048616783237
2019-01-04 14:00:00,333.8666666666667,313.652,4,1,9.295593919237854
2019-01-04 15:00:00,238.025,312.089,4,1,8.024659857791692
2019-01-04 16:00:00,103.69416666666666,304.326,4,1,6.206858488414452
2019-01-04 17:00:00,10.259666666666666,294.737,4,1,3.96606997037041
2019-01-04 18:00:00,3.05825,276.394,4,1,1.455000338086137
2019-01-04 19:00:00,3.485,234.526,4,1,-1.1552251627369503
2019-01-04 20:00:00,3.0049166666666665,176.092,4,1,-3.6867239778193617
2019-01-04 21:00:00,2.4071666666666665,158.612,4,1,-5.966978646412833
2019-01-04 22:00:00,3.076416666666667,136.778,4,1,-7.840593581151714
2019-01-04 23:00:00,4.089666666666667,132.568,4,1,-9.179885020528637
2019-01-05 00:00:00,3.951083333333333,122.298,5,1,-9.893582466233818
2019-01-05 01:00:00,3.914,101.056,5,1,-9.933048616783237
2019-01-05 02:00:00,5.913916666666666,85.658,5,1,-9.29559391923785
2019-01-05 03:00:00,3.254833333333333,80.95,5,1,-8.024659857791685
2019-01-05 04:00:00,4.725333333333333,81.633,5,1,-6.2068584884144515
2019-01-05 05:00:00,3.867083333333333,78.515,5,1,-3.9660699703704005
2019-01-05 06:00:00,5.096916666666667,78.718,5,1,-1.455000338086136
2019-01-05 07:00:00,5.235166666666667,80.415,5,1,1.1552251627369516
2019-01-05 08:00:00,61.59166666666667,106.814,5,1,3.686723977819363
2019-01-05 09:00:00,209.4416666666667,137.94,5,1,5.966978646412833
2019-01-05 10:00:00,347.4666666666667,137.635,5,1,7.8405935811517145
2019-01-05 11:00:00,445.9,149.528,5,1,9.17988502052864
2019-01-05 12:00:00,487.2833333333333,146.475,5,1,9.893582466233818
2019-01-05 13:00:00,473.0,148.06,5,1,9.933048616783237
2019-01-05 14:00:00,401.425,155.084,5,1,9.295593919237854
2019-01-05 15:00:00,279.19166666666666,149.155,5,1,8.024659857791692
2019-01-05 16:00:00,128.12833333333333,163.783,5,1,6.206858488414452
2019-01-05 17:00:00,10.0215,157.765,5,1,3.96606997037041
2019-01-05 18:00:00,4.103583333333334,157.768,5,1,1.455000338086137
2019-01-05 19:00:00,1.3456666666666666,152.412,5,1,-1.1552251627369503
2019-01-05 20:00:00,1.3916666666666666,119.965,5,1,-3.6867239778193617
2019-01-05 21:00:00,1.3316666666666668,107.861,5,1,-5.966978646412833
2019-01-05 22:00:00,1.428583333333333,104.382,5,1,-7.840593581151714
2019-01-05 23:00:00,1.887916666666667,105.424,5,1,-9.179885020528637
2019-01-06 00:00:00,3.767083333333333,103.207,6,1,-9.893582466233818
2019-01-06 01:00:00,4.52775,134.892,6,1,-9.933048616783237
2019-01-06 02:00:00,3.56225,133.4,6,1,-9.29559391923785
2019-01-06 03:00:00,4.545333333333333,130.17,6,1,-8.024659857791685
2019-01-06 04:00:00,4.358833333333333,130.652,6,1,-6.2068584884144515
2019-01-06 05:00:00,5.145333333333333,128.067,6,1,-3.9660699703704005
2019-01-06 06:00:00,4.051583333333333,127.708,6,1,-1.455000338086136
2019-01-06 07:00:00,5.106,123.317,6,1,1.1552251627369516
2019-01-06 08:00:00,67.02583333333332,130.058,6,1,3.686723977819363
2019-01-06 09:00:00,220.325,150.845,6,1,5.966978646412833
2019-01-06 10:00:00,358.44166666666666,153.294,6,1,7.8405935811517145
2019-01-06 11:00:00,454.1,167.791,6,1,9.17988502052864
2019-01-06 12:00:00,496.2083333333333,158.516,6,1,9.893582466233818
2019-01-06 13:00:00,479.0583333333333,162.628,6,1,9.933048616783237
2019-01-06 14:00:00,405.8,159.494,6,1,9.295593919237854
2019-01-06 15:00:00,282.46666666666664,159.021,6,1,8.024659857791692
2019-01-06 16:00:00,129.15166666666667,156.689,6,1,6.206858488414452
2019-01-06 17:00:00,11.941416666666669,152.782,6,1,3.96606997037041
2019-01-06 18:00:00,3.67,153.98,6,1,1.455000338086137
2019-01-06 19:00:00,3.2426666666666666,149.013,6,1,-1.1552251627369503
2019-01-06 20:00:00,4.191333333333334,142.277,6,1,-3.6867239778193617
2019-01-06 21:00:00,1.7308333333333332,134.827,6,1,-5.966978646412833
2019-01-06 22:00:00,1.3270833333333334,128.478,6,1,-7.840593581151714
2019-01-06 23:00:00,1.401,126.48,6,1,-9.179885020528637
2019-01-07 00:00:00,2.432916666666667,128.866,0,1,-9.893582466233818
2019-01-07 01:00:00,1.3804166666666664,107.91,0,1,-9.933048616783237
2019-01-07 02:00:00,1.5051666666666668,107.731,0,1,-9.29559391923785
2019-01-07 03:00:00,1.7915,107.649,0,1,-8.024659857791685
2019-01-07 04:00:00,1.3573333333333333,105.43,0,1,-6.2068584884144515
2019-01-07 05:00:00,1.1011666666666666,108.012,0,1,-3.9660699703704005
2019-01-07 06:00:00,1.5236666666666665,113.291,0,1,-1.455000338086136
2019-01-07 07:00:00,2.58975,124.211,0,1,1.1552251627369516
2019-01-07 08:00:00,71.9675,176.426,0,1,3.686723977819363
2019-01-07 09:00:00,227.0583333333333,262.594,0,1,5.966978646412833
2019-01-07 10:00:00,366.275,282.356,0,1,7.8405935811517145
2019-01-07 11:00:00,462.8416666666666,325.85,0,1,9.17988502052864
2019-01-07 12:00:00,505.0416666666667,348.625,0,1,9.893582466233818
2019-01-07 13:00:00,486.51666666666665,357.827,0,1,9.933048616783237
2019-01-07 14:00:00,413.375,343.951,0,1,9.295593919237854
2019-01-07 15:00:00,290.8,333.008,0,1,8.024659857791692
2019-01-07 16:00:00,135.9425,343.925,0,1,6.206858488414452
2019-01-07 17:00:00,12.228666666666667,367.503,0,1,3.96606997037041
2019-01-07 18:00:00,1.246,314.646,0,1,1.455000338086137
2019-01-07 19:00:00,0.8215,250.464,0,1,-1.1552251627369503
2019-01-07 20:00:00,1.25525,188.995,0,1,-3.6867239778193617
2019-01-07 21:00:00,1.3224166666666666,145.896,0,1,-5.966978646412833
2019-01-07 22:00:00,0.9163333333333332,131.884,0,1,-7.840593581151714
2019-01-07 23:00:00,1.4401666666666666,130.357,0,1,-9.179885020528637
2019-01-08 00:00:00,1.5415833333333333,126.492,1,1,-9.893582466233818
2019-01-08 01:00:00,1.17,122.137,1,1,-9.933048616783237
2019-01-08 02:00:00,0.9461666666666666,122.835,1,1,-9.29559391923785
2019-01-08 03:00:00,1.0018333333333334,122.673,1,1,-8.024659857791685
2019-01-08 04:00:00,1.5374166666666669,118.732,1,1,-6.2068584884144515
2019-01-08 05:00:00,1.2581666666666669,120.067,1,1,-3.9660699703704005
2019-01-08 06:00:00,1.0295,123.055,1,1,-1.455000338086136
2019-01-08 07:00:00,2.4978333333333333,140.78,1,1,1.1552251627369516
2019-01-08 08:00:00,71.8525,177.544,1,1,3.686723977819363
2019-01-08 09:00:00,224.8083333333333,263.415,1,1,5.966978646412833
2019-01-08 10:00:00,362.35,278.269,1,1,7.8405935811517145
2019-01-08 11:00:00,457.8,310.658,1,1,9.17988502052864
2019-01-08 12:00:00,502.0333333333333,293.083,1,1,9.893582466233818
2019-01-08 13:00:00,485.39166666666665,307.136,1,1,9.933048616783237
2019-01-08 14:00:00,413.05,305.65,1,1,9.295593919237854
2019-01-08 15:00:00,290.34166666666664,316.785,1,1,8.024659857791692
2019-01-08 16:00:00,135.95333333333335,313.347,1,1,6.206858488414452
2019-01-08 17:00:00,12.93,302.432,1,1,3.96606997037041
2019-01-08 18:00:00,1.3545,289.547,1,1,1.455000338086137
2019-01-08 19:00:00,1.1701666666666666,255.541,1,1,-1.1552251627369503
2019-01-08 20:00:00,1.2808333333333335,201.737,1,1,-3.6867239778193617
2019-01-08 21:00:00,1.084833333333333,145.56,1,1,-5.966978646412833
2019-01-08 22:00:00,1.2575833333333335,128.782,1,1,-7.840593581151714
2019-01-08 23:00:00,1.0455833333333333,118.971,1,1,-9.179885020528637
2019-01-09 00:00:00,0.9441666666666668,117.392,2,1,-9.893582466233818
2019-01-09 01:00:00,0.9278333333333334,96.865,2,1,-9.933048616783237
2019-01-09 02:00:00,1.3685,96.839,2,1,-9.29559391923785
2019-01-09 03:00:00,1.6713333333333331,98.935,2,1,-8.024659857791685
2019-01-09 04:00:00,1.6645,97.448,2,1,-6.2068584884144515
2019-01-09 05:00:00,1.3550833333333332,96.343,2,1,-3.9660699703704005
2019-01-09 06:00:00,1.429,96.174,2,1,-1.455000338086136
2019-01-09 07:00:00,2.324666666666667,97.545,2,1,1.1552251627369516
2019-01-09 08:00:00,66.49416666666667,96.695,2,1,3.686723977819363
2019-01-09 09:00:00,214.49166666666667,94.96,2,1,5.966978646412833
2019-01-09 10:00:00,351.2083333333333,98.181,2,1,7.8405935811517145
2019-01-09 11:00:00,448.3333333333333,95.761,2,1,9.17988502052864
2019-01-09 12:00:00,491.575,97.662,2,1,9.893582466233818
2019-01-09 13:00:00,475.8083333333333,102.3,2,1,9.933048616783237
2019-01-09 14:00:00,398.8833333333334,117.008,2,1,9.295593919237854
2019-01-09 15:00:00,281.725,108.064,2,1,8.024659857791692
2019-01-09 16:00:00,127.33166666666666,122.499,2,1,6.206858488414452
2019-01-09 17:00:00,11.329833333333331,129.808,2,1,3.96606997037041
2019-01-09 18:00:00,1.04525,125.284,2,1,1.455000338086137
2019-01-09 19:00:00,1.1815833333333332,125.595,2,1,-1.1552251627369503
2019-01-09 20:00:00,0.9024166666666668,124.238,2,1,-3.6867239778193617
2019-01-09 21:00:00,1.8810833333333332,119.258,2,1,-5.966978646412833
2019-01-09 22:00:00,2.529666666666667,107.077,2,1,-7.840593581151714
2019-01-09 23:00:00,2.584916666666667,110.955,2,1,-9.179885020528637
2019-01-10 00:00:00,4.209666666666666,99.084,3,1,-9.893582466233818
2019-01-10 01:00:00,3.12725,127.259,3,1,-9.933048616783237
2019-01-10 02:00:00,3.425333333333333,127.199,3,1,-9.29559391923785
2019-01-10 03:00:00,2.70725,116.927,3,1,-8.024659857791685
2019-01-10 04:00:00,2.875916666666667,117.386,3,1,-6.2068584884144515
2019-01-10 05:00:00,2.8826666666666667,121.884,3,1,-3.9660699703704005
2019-01-10 06:00:00,2.273333333333333,126.139,3,1,-1.455000338086136
2019-01-10 07:00:00,2.8553333333333337,134.908,3,1,1.1552251627369516
2019-01-10 08:00:00,67.63833333333334,171.391,3,1,3.686723977819363
2019-01-10 09:00:00,217.14166666666665,266.523,3,1,5.966978646412833
2019-01-10 10:00:00,353.44166666666666,301.757,3,1,7.8405935811517145
2019-01-10 11:00:00,448.6166666666666,346.735,3,1,9.17988502052864
2019-01-10 12:00:00,489.5916666666667,331.735,3,1,9.893582466233818
2019-01-10 13:00:00,474.2,367.954,3,1,9.933048616783237
2019-01-10 14:00:00,403.26666666666665,383.813,3,1,9.295593919237854
2019-01-10 15:00:00,284.475,373.677,3,1,8.024659857791692
2019-01-10 16:00:00,136.06916666666666,365.036,3,1,6.206858488414452
2019-01-10 17:00:00,14.257333333333332,351.744,3,1,3.96606997037041
2019-01-10 18:00:00,1.0776666666666668,329.175,3,1,1.455000338086137
2019-01-10 19:00:00,1.0731666666666666,282.849,3,1,-1.1552251627369503
2019-01-10 20:00:00,1.267,240.621,3,1,-3.6867239778193617
2019-01-10 21:00:00,1.3064166666666668,168.257,3,1,-5.966978646412833
2019-01-10 22:00:00,1.101,155.27,3,1,-7.840593581151714
2019-01-10 23:00:00,1.1053333333333333,155.526,3,1,-9.179885020528637
2019-01-11 00:00:00,1.094,137.314,4,1,-9.893582466233818
2019-01-11 01:00:00,0.7618333333333333,102.911,4,1,-9.933048616783237
2019-01-11 02:00:00,1.3551666666666666,97.554,4,1,-9.29559391923785
2019-01-11 03:00:00,0.9488333333333332,96.234,4,1,-8.024659857791685
2019-01-11 04:00:00,1.1588333333333334,96.263,4,1,-6.2068584884144515
2019-01-11 05:00:00,1.0135,91.747,4,1,-3.9660699703704005
2019-01-11 06:00:00,1.0759166666666666,92.309,4,1,-1.455000338086136
2019-01-11 07:00:00,2.54625,89.982,4,1,1.1552251627369516
2019-01-11 08:00:00,69.33583333333333,125.566,4,1,3.686723977819363
2019-01-11 09:00:00,220.70833333333331,168.566,4,1,5.966978646412833
2019-01-11 10:00:00,356.9916666666666,168.643,4,1,7.8405935811517145
2019-01-11 11:00:00,452.0833333333333,153.854,4,1,9.17988502052864
2019-01-11 12:00:00,494.94166666666666,159.159,4,1,9.893582466233818
2019-01-11 13:00:00,479.9166666666667,158.965,4,1,9.933048616783237
2019-01-11 14:00:00,408.1,161.22,4,1,9.295593919237854
