DateTime,Civil Building Demand (kW),GHI (W/m2),Civil Building Demand (kW) - 1,Week Day,Month,Sin Hour
2017-01-01 01:00:00,75.1735565,1.4773333333333334,74.897706,6,1,-9.933048616783237
2017-01-01 02:00:00,74.2081752,1.4150833333333335,75.1735565,6,1,-9.29559391923785
2017-01-01 03:00:00,73.7358886,1.5419999999999998,74.2081752,6,1,-8.024659857791685
2017-01-01 04:00:00,75.1023508,0.891,73.7358886,6,1,-6.2068584884144515
2017-01-01 05:00:00,75.7873,1.3758333333333332,75.1023508,6,1,-3.9660699703704005
2017-01-01 06:00:00,77.6023772,0.988,75.7873,6,1,-1.455000338086136
2017-01-01 07:00:00,78.4381374,1.4661666666666668,77.6023772,6,1,1.1552251627369516
2017-01-01 08:00:00,79.3300222,29.54975,78.4381374,6,1,3.686723977819363
2017-01-01 09:00:00,79.1734842,76.49416666666667,79.3300222,6,1,5.966978646412833
2017-01-01 10:00:00,79.9118854,192.8083333333333,79.1734842,6,1,7.8405935811517145
2017-01-01 11:00:00,79.9960723,237.49166666666667,79.9118854,6,1,9.17988502052864
2017-01-01 12:00:00,78.9804843,267.5,79.9960723,6,1,9.893582466233818
2017-01-01 13:00:00,80.4000167,203.54999999999998,78.9804843,6,1,9.933048616783237
2017-01-01 14:00:00,82.9294417,146.23333333333332,80.4000167,6,1,9.295593919237854
2017-01-01 15:00:00,84.2287071,124.28333333333335,82.9294417,6,1,8.024659857791692
2017-01-01 16:00:00,84.272805,56.92416666666667,84.2287071,6,1,6.206858488414452
2017-01-01 17:00:00,85.5831426,5.232166666666667,84.272805,6,1,3.96606997037041
2017-01-01 18:00:00,85.158581,1.5073333333333334,85.5831426,6,1,1.455000338086137
2017-01-01 19:00:00,86.1590879,1.4498333333333333,85.158581,6,1,-1.1552251627369503
2017-01-01 20:00:00,87.6857152,1.3549999999999998,86.1590879,6,1,-3.6867239778193617
2017-01-01 21:00:00,86.0090405,1.3435833333333334,87.6857152,6,1,-5.966978646412833
2017-01-01 22:00:00,87.447472,1.2211666666666667,86.0090405,6,1,-7.840593581151714
2017-01-01 23:00:00,88.2941135,1.5002307692307693,87.447472,6,1,-9.179885020528637
2017-01-02 00:00:00,87.3963108,1.1796666666666666,88.2941135,0,1,-9.893582466233818
2017-01-02 01:00:00,89.1758806,1.8166666666666667,87.3963108,0,1,-9.933048616783237
2017-01-02 02:00:00,88.1238307,1.1193333333333333,89.1758806,0,1,-9.29559391923785
2017-01-02 03:00:00,87.7779199,1.5486666666666666,88.1238307,0,1,-8.024659857791685
2017-01-02 04:00:00,87.1412684,1.507,87.7779199,0,1,-6.2068584884144515
2017-01-02 05:00:00,96.3670836,1.5416666666666667,87.1412684,0,1,-3.9660699703704005
2017-01-02 06:00:00,109.7333289,1.7425833333333334,96.3670836,0,1,-1.455000338086136
2017-01-02 07:00:00,179.4389367,1.7679166666666666,109.7333289,0,1,1.1552251627369516
2017-01-02 08:00:00,278.7035005,18.456583333333334,179.4389367,0,1,3.686723977819363
2017-01-02 09:00:00,300.0487931,42.23916666666667,278.7035005,0,1,5.966978646412833
2017-01-02 10:00:00,329.3708422,51.625,300.0487931,0,1,7.8405935811517145
2017-01-02 11:00:00,355.2124025,40.54833333333333,329.3708422,0,1,9.17988502052864
2017-01-02 12:00:00,373.9417924,50.6325,355.2124025,0,1,9.893582466233818
2017-01-02 13:00:00,361.8446503,22.359166666666667,373.9417924,0,1,9.933048616783237
2017-01-02 14:00:00,354.1196909,16.667083333333334,361.8446503,0,1,9.295593919237854
2017-01-02 15:00:00,354.5873959,33.44916666666666,354.1196909,0,1,8.024659857791692
2017-01-02 16:00:00,347.5905291,6.418833333333333,354.5873959,0,1,6.206858488414452
2017-01-02 17:00:00,315.1220662,3.5980000000000003,347.5905291,0,1,3.96606997037041
2017-01-02 18:00:00,268.6617787,2.6148333333333333,315.1220662,0,1,1.455000338086137
2017-01-02 19:00:00,183.7777119,3.3829999999999996,268.6617787,0,1,-1.1552251627369503
2017-01-02 20:00:00,160.701529,1.7562499999999999,183.7777119,0,1,-3.6867239778193617
2017-01-02 21:00:00,136.6553832,1.75825,160.701529,0,1,-5.966978646412833
2017-01-02 22:00:00,133.1861575,1.6084166666666668,136.6553832,0,1,-7.840593581151714
2017-01-02 23:00:00,129.418746,1.3036923076923077,133.1861575,0,1,-9.179885020528637
2017-01-03 00:00:00,128.4919265,2.284666666666667,129.418746,1,1,-9.893582466233818
2017-01-03 01:00:00,122.6492411,1.9545000000000001,128.4919265,1,1,-9.933048616783237
2017-01-03 02:00:00,121.5198767,1.8274166666666665,122.6492411,1,1,-9.29559391923785
2017-01-03 03:00:00,120.8690986,1.8690833333333332,121.5198767,1,1,-8.024659857791685
2017-01-03 04:00:00,119.5690696,1.1053333333333333,120.8690986,1,1,-6.2068584884144515
2017-01-03 05:00:00,124.449619,1.3060833333333333,119.5690696,1,1,-3.9660699703704005
2017-01-03 06:00:00,135.9032372,0.9874999999999999,124.449619,1,1,-1.455000338086136
2017-01-03 07:00:00,186.6402574,1.3335833333333333,135.9032372,1,1,1.1552251627369516
2017-01-03 08:00:00,288.858426,38.596916666666665,186.6402574,1,1,3.686723977819363
2017-01-03 09:00:00,333.298037,94.52749999999999,288.858426,1,1,5.966978646412833
2017-01-03 10:00:00,371.8474285,143.95833333333334,333.298037,1,1,7.8405935811517145
2017-01-03 11:00:00,348.5484653,202.845,371.8474285,1,1,9.17988502052864
2017-01-03 12:00:00,347.6258456,296.60833333333335,348.5484653,1,1,9.893582466233818
2017-01-03 13:00:00,335.241399,238.4416666666667,347.6258456,1,1,9.933048616783237
2017-01-03 14:00:00,341.1354365,148.11666666666667,335.241399,1,1,9.295593919237854
2017-01-03 15:00:00,342.6078482,219.86666666666667,341.1354365,1,1,8.024659857791692
2017-01-03 16:00:00,336.0174075,45.745000000000005,342.6078482,1,1,6.206858488414452
2017-01-03 17:00:00,303.4074877,6.886416666666666,336.0174075,1,1,3.96606997037041
2017-01-03 18:00:00,251.3001873,0.8374166666666666,303.4074877,1,1,1.455000338086137
2017-01-03 19:00:00,178.6394475,0.7753333333333333,251.3001873,1,1,-1.1552251627369503
2017-01-03 20:00:00,145.4654182,1.0313333333333332,178.6394475,1,1,-3.6867239778193617
2017-01-03 21:00:00,118.8631214,0.9482499999999999,145.4654182,1,1,-5.966978646412833
2017-01-03 22:00:00,111.3487247,0.9435833333333333,118.8631214,1,1,-7.840593581151714
2017-01-03 23:00:00,110.5564897,0.76825,111.3487247,1,1,-9.179885020528637
2017-01-04 00:00:00,107.4486377,0.6483333333333333,110.5564897,2,1,-9.893582466233818
